particion,EMD,Tiempo,combinacion
"{, (, ', d, _, t, ', ,, ), }",0.0,0.03337939999619266,"['c_t', 'd_t', 'a_t+1']"
"{, (, ', d, _, t, ', ,, ), }",0.0,0.034597599995322526,"['c_t', 'd_t', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), ,,  , (, ', d, _, t, ', ,, ), }",0.0,0.03288830000383314,"['c_t', 'd_t', 'c_t+1']"
"{, (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), ,,  , (, ', d, _, t, ', ,, ), }",0.0,0.031553300002997275,"['c_t', 'd_t', 'd_t+1']"
"{, (, ', e, _, t, +, 1, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), ,,  , (, ', d, _, t, ', ,, ), }",0.0,0.03555380000034347,"['c_t', 'd_t', 'e_t+1']"
"{, (, ', f, _, t, +, 1, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), ,,  , (, ', d, _, t, ', ,, ), }",0.0,0.03196310000203084,"['c_t', 'd_t', 'f_t+1']"
"{, (, ', e, _, t, ', ,, ), }",0.0,0.03366400000231806,"['c_t', 'e_t', 'a_t+1']"
"{, (, ', e, _, t, ', ,, ), }",0.0,0.0352063000027556,"['c_t', 'e_t', 'b_t+1']"
"{, (, ', c, _, t, +, 1, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), }",0.0,0.034948000000440516,"['c_t', 'e_t', 'c_t+1']"
"{, (, ', d, _, t, +, 1, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), }",0.0,0.03403680000337772,"['c_t', 'e_t', 'd_t+1']"
"{, (, ', e, _, t, +, 1, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), }",0.0,0.035023100004764274,"['c_t', 'e_t', 'e_t+1']"
"{, (, ', f, _, t, +, 1, ', ,, ), ,,  , (, ', e, _, t, ', ,, ), ,,  , (, ', c, _, t, ', ,, ), }",0.0,0.031267999998817686,"['c_t', 'e_t', 'f_t+1']"
"{, (, ', f, _, t, ', ,, ), }",0.0,0.03349270000035176,"['c_t', 'f_t', 'a_t+1']"
